HPitb1ch15-0001	scortare	Filch li scortò giù al primo piano, nello studio della professoressa McGonagall, dove si sedettero in attesa senza scambiarsi una parola.
HPitb1ch15-0002	accavallarsi	Nel cervello di Harry si accavallavano scuse, alibi e strampalate storie di copertura, ma erano una più debole dell’altra.
HPitb1ch15-0003	alibi	Nel cervello di Harry si accavallavano scuse, alibi e strampalate storie di copertura, ma erano una più debole dell’altra.
HPitb1ch15-0004	copertura	Nel cervello di Harry si accavallavano scuse, alibi e strampalate storie di copertura, ma erano una più debole dell’altra.
HPitb1ch15-0005	tirarsi	Stavolta non vedeva proprio come avrebbero potuto fare per tirarsi fuori dai pasticci.
HPitb1ch15-0006	trappola	Erano in trappola.
HPitb1ch15-0007	addurre	La professoressa McGonagall non avrebbe mai accettato nessuna delle scuse che potevano addurre per giustificare il fatto di essere fuori dai loro letti a girare per la scuola a notte fonda, per non parlare poi di essere saliti sulla torre più alta, quella di Astronomia, il cui accesso era proibito salvo che in orario di lezione.
HPitb1ch15-0008	giustificare	La professoressa McGonagall non avrebbe mai accettato nessuna delle scuse che potevano addurre per giustificare il fatto di essere fuori dai loro letti a girare per la scuola a notte fonda, per non parlare poi di essere saliti sulla torre più alta, quella di Astronomia, il cui accesso era proibito salvo che in orario di lezione.
HPitb1ch15-0009	astronomia	La professoressa McGonagall non avrebbe mai accettato nessuna delle scuse che potevano addurre per giustificare il fatto di essere fuori dai loro letti a girare per la scuola a notte fonda, per non parlare poi di essere saliti sulla torre più alta, quella di Astronomia, il cui accesso era proibito salvo che in orario di lezione.
HPitb1ch15-0010	orario	La professoressa McGonagall non avrebbe mai accettato nessuna delle scuse che potevano addurre per giustificare il fatto di essere fuori dai loro letti a girare per la scuola a notte fonda, per non parlare poi di essere saliti sulla torre più alta, quella di Astronomia, il cui accesso era proibito salvo che in orario di lezione.
HPitb1ch15-0011	ebbene	Ebbene, si sbagliava.
HPitb1ch15-0012	violentemente	Ho sentito Malfoy dire che ti avrebbe beccato, e ha detto che hai un dra...» Harry scosse violentemente il capo per far segno a Neville di tacere, ma la professoressa McGonagall l’aveva notato.
HPitb1ch15-0013	esigere	Esigo una spiegazione».
HPitb1ch15-0014	fissarsi	Stava lì a fissarsi le pantofole, immobile come una statua.
HPitb1ch15-0015	pantofola	Stava lì a fissarsi le pantofole, immobile come una statua.
HPitb1ch15-0016	presumere	Presumo vi sembri divertente che Longbottom, qui, abbia sentito le vostre storie e ci abbia anche creduto!» Harry incrociò lo sguardo di Neville e tentò di dirgli, sempre senza parlare, che non era vero, perché Neville aveva un’espressione attonita e ferita.
HPitb1ch15-0017	maldestro	Povero Neville, sempre così maldestro!
HPitb1ch15-0018	nottata	«Quattro studenti fuori dai loro letti nella stessa nottata!
HPitb1ch15-0019	autorizzare	Adesso, andrete in punizione tutti e tre... sì, anche tu, Longbottom, perché nulla ti autorizza ad andartene a zonzo per la scuola di notte, specie di questi tempi!
HPitb1ch15-0020	vergognarsi	Non mi sono mai vergognata tanto dei miei studenti di Grifondoro».
HPitb1ch15-0021	monte	Nel giro di una sola notte, avevano mandato a monte la possibilità che la loro Casa vincesse la Coppa.
HPitb1ch15-0022	rimediare	Come avrebbe potuto rimediare a una cosa del genere?
HPitb1ch15-0023	consolare	Non gli veniva in mente niente da dirgli per consolarlo.
HPitb1ch15-0024	clessidra	Il mattino seguente, passando accanto alle gigantesche clessidre che segnavano il punteggio delle Case, i Grifondoro pensarono che si trattasse di un errore.
HPitb1ch15-0025	punteggio	Il mattino seguente, passando accanto alle gigantesche clessidre che segnavano il punteggio delle Case, i Grifondoro pensarono che si trattasse di un errore.
HPitb1ch15-0026	spargersi	Poi cominciò a spargersi la voce:
HPitb1ch15-0027	eroe	Harry Potter, il famoso Harry Potter, l’eroe di ben due partite a Quidditch, aveva fatto perdere loro tutti quei punti.
HPitb1ch15-0028	amato	Di colpo, dopo essere stato uno dei ragazzi più amati e ammirati dell’intera scuola, Harry divenne il più odiato.
HPitb1ch15-0029	rivoltarsi	Persino quelli di Corvonero e di Tassofrasso gli si rivoltarono contro, perché tutti quanti avevano sperato che Serpeverde perdesse la Coppa delle Case.
HPitb1ch15-0030	debitore	«Grazie, Potter, ti siamo debitori!» L’unico che gli rimase vicino fu Ron.
HPitb1ch15-0031	affranto	rispose Harry affranto.
HPitb1ch15-0032	effettivamente	«Be’... effettivamente no» ammise Ron.
HPitb1ch15-0033	danno	Era un po’ tardi per rimediare al danno, ma Harry giurò a se stesso che da allora in poi non si sarebbe più immischiato in cose che non lo riguardavano.
HPitb1ch15-0034	immischiarsi	Era un po’ tardi per rimediare al danno, ma Harry giurò a se stesso che da allora in poi non si sarebbe più immischiato in cose che non lo riguardavano.
HPitb1ch15-0035	vergogna	Provava tanta vergogna che andò da Wood a offrirgli le sue dimissioni dalla squadra di Quidditch.
HPitb1ch15-0036	dimissioni	Provava tanta vergogna che andò da Wood a offrirgli le sue dimissioni dalla squadra di Quidditch.
HPitb1ch15-0037	riacquistare	Come facciamo a riacquistare punti, se non vinciamo a Quidditch?
HPitb1ch15-0038	notorietà	Non quanto Harry, perché non avevano neanche lontanamente la sua notorietà;
