HPfrb1ch03-0001	nulle              	LES LETTRES DE NULLE PART
HPfrb1ch03-0002	part               	LES LETTRES DE NULLE PART
HPfrb1ch03-0003	fuite              	La fuite du boa brésilien valut à Harry la plus longue punition qu’il eût jamais reçue.
HPfrb1ch03-0004	brésilien          	La fuite du boa brésilien valut à Harry la plus longue punition qu’il eût jamais reçue.
HPfrb1ch03-0005	ressortir          	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
HPfrb1ch03-0006	écraser            	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
HPfrb1ch03-0007	étrenner           	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
HPfrb1ch03-0008	béquille           	Lorsqu’il fut enfin autorisé à ressortir de son placard, les vacances d’été avaient déjà commencé et Dudley avait eu le temps de casser son nouveau caméscope, d’écraser au sol son avion radio-commandé et d’étrenner son vélo de course en renversant Mrs Figg qui traversait Privet Drive avec ses béquilles.
HPfrb1ch03-0009	content            	Harry était content que l’école ait pris fin, mais il n’arrivait pas à échapper à la bande de Dudley qui venait chaque jour à la maison.
HPfrb1ch03-0010	bête               	Piers, Dennis, Malcolm et Gordon étaient tous grands et stupides, mais comme Dudley était encore plus grand et plus bête qu’eux, c’était lui qui était le chef.
HPfrb1ch03-0011	chef               	Piers, Dennis, Malcolm et Gordon étaient tous grands et stupides, mais comme Dudley était encore plus grand et plus bête qu’eux, c’était lui qui était le chef.
HPfrb1ch03-0012	ravir              	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
HPfrb1ch03-0013	pratiquer          	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
HPfrb1ch03-0014	chasse             	Et les autres étaient ravis de pratiquer le sport préféré de Dudley : la chasse au Harry.
HPfrb1ch03-0015	septembre          	Car en septembre, il entrerait au collège et, pour la première fois de sa vie, il ne serait plus dans la même école que Dudley.
HPfrb1ch03-0016	collège            	Car en septembre, il entrerait au collège et, pour la première fois de sa vie, il ne serait plus dans la même école que Dudley.
HPfrb1ch03-0017	privé              	Dudley irait à Smelting, un collège privé où l’oncle Vernon avait fait ses études.
HPfrb1ch03-0018	étude              	Dudley irait à Smelting, un collège privé où l’oncle Vernon avait fait ses études.
HPfrb1ch03-0019	inscrire           	Piers Polkiss y était inscrit, lui aussi.
HPfrb1ch03-0020	trou               	– Là où tu vas, on met la tête des nouveaux dans le trou des toilettes, dit-il à Harry.
HPfrb1ch03-0021	toilette           	– Là où tu vas, on met la tête des nouveaux dans le trou des toilettes, dit-il à Harry.
HPfrb1ch03-0022	entraîner          	Si tu veux t’entraîner, monte avec moi dans la salle de bains.
HPfrb1ch03-0023	monter             	Si tu veux t’entraîner, monte avec moi dans la salle de bains.
HPfrb1ch03-0024	atroce             	Non, merci, répondit Harry, ces pauvres toilettes n’ont jamais vu quelque chose d’aussi atroce que ta tête, ça les rendrait malades.
HPfrb1ch03-0025	juillet            	Un jour de juillet, la tante Pétunia emmena Dudley à Londres pour lui acheter l’uniforme de sa nouvelle école.
HPfrb1ch03-0026	uniforme           	Un jour de juillet, la tante Pétunia emmena Dudley à Londres pour lui acheter l’uniforme de sa nouvelle école.
HPfrb1ch03-0027	pénible            	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
HPfrb1ch03-0028	trébucher          	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
HPfrb1ch03-0029	refroidir          	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
HPfrb1ch03-0030	passion            	Elle déposa Harry chez Mrs Figg qui fut moins pénible qu’à l’ordinaire car elle s’était cassé la jambe en trébuchant sur un de ses chats, ce qui avait quelque peu refroidi la passion qu’elle leur portait habituellement.
HPfrb1ch03-0031	gâteau             	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
HPfrb1ch03-0032	séjourner          	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
HPfrb1ch03-0033	fond               	Harry fut même autorisé à regarder la télévision en mangeant un gâteau au chocolat qui avait dû séjourner quelques années au fond d’un placard.
HPfrb1ch03-0034	parader            	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0035	habit              	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0036	flamber            	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0037	frac               	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0038	pantalon           	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0039	golf               	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0040	canotier           	Le soir, Dudley parada dans le salon pour montrer à toute la famille ses habits flambant neufs : un frac marron à queue-de-pie, un pantalon de golf orange et un canotier.
HPfrb1ch03-0041	élève              	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
HPfrb1ch03-0042	canne              	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
HPfrb1ch03-0043	servir             	Les élèves de Smelting avaient également une canne dont ils se servaient pour se taper dessus quand les professeurs ne les voyaient pas.
HPfrb1ch03-0044	forger             	C’était, paraît-il, une façon de se forger le caractère.
HPfrb1ch03-0045	caractère          	C’était, paraît-il, une façon de se forger le caractère.
HPfrb1ch03-0046	accoutrer          	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
HPfrb1ch03-0047	éclater            	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
HPfrb1ch03-0048	élégant            	En contemplant son fils ainsi accoutré, l’oncle Vernon déclara que c’était le plus beau jour de sa vie et la tante Pétunia éclata en sanglots en disant qu’elle n’arrivait pas à croire que ce garçon si grand, si élégant était son petit Dudlinouchet adoré.
HPfrb1ch03-0049	fêler              	Il avait l’impression de s’être déjà fêlé deux côtes à force de réprimer son fou rire.
HPfrb1ch03-0050	réprimer           	Il avait l’impression de s’être déjà fêlé deux côtes à force de réprimer son fou rire.
HPfrb1ch03-0051	pestilentiel       	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
HPfrb1ch03-0052	dégager            	Le lendemain matin, au petit déjeuner, une odeur pestilentielle se dégageait d’une grande bassine posée dans l’évier de la cuisine.
