HPfrb2ch03-0001	terrier        	 3 LE TERRIER
HPfrb2ch03-0002	turquoise      	 bée lorsqu’il vit que Ron était penché à la fenêtre arrière d’une vieille voiture vert turquoise qui s’était immobilisée dans les airs.
HPfrb2ch03-0003	trafiquer      	 Elle est à Papa, ce n’est pas nous qui l’avons trafiquée.
HPfrb2ch03-0004	accélérateur   	 – Si les Dursley se réveillent, je suis mort, dit Harry en nouant solidement la corde autour des barreaux tandis que Fred donnait de grands coups d’accélérateur.
HPfrb2ch03-0005	scène          	 Harry recula près de la cage d’Hedwige qui observait la scène en silence.
HPfrb2ch03-0006	emballer       	 Le moteur de la voiture s’emballa et soudain, il y eut un grand bruit : Fred avait foncé tout droit dans les airs et les barreaux de la fenêtre avaient été arrachés net.
HPfrb2ch03-0007	astuce         	 – Les sorciers pensent que c’est une perte de temps d’apprendre les astuces des Moldus, dit Fred, mais ils ont des techniques qui valent la peine d’être connues, même si elles sont un peu lentes.
HPfrb2ch03-0008	technique      	 – Les sorciers pensent que c’est une perte de temps d’apprendre les astuces des Moldus, dit Fred, mais ils ont des techniques qui valent la peine d’être connues, même si elles sont un peu lentes.
HPfrb2ch03-0009	beuglement     	 puis il laissa échapper un beuglement de taureau furieux et plongea sur Harry en le saisissant par une cheville.
HPfrb2ch03-0010	taureau        	 puis il laissa échapper un beuglement de taureau furieux et plongea sur Harry en le saisissant par une cheville.
HPfrb2ch03-0011	confortablement	 Les Weasley éclatèrent de rire et Harry s’installa confortablement sur la banquette en souriant d’une oreille à l’autre.
HPfrb2ch03-0012	planer         	 George donna à Ron l’épingle à cheveux et un instant plus tard, Hedwige s’élançait avec bonheur par la fenêtre de la voiture qu’elle accompagna en planant comme un fantôme.
HPfrb2ch03-0013	louche         	 – Vraiment louche, tout ça, dit enfin Fred.
HPfrb2ch03-0014	intime         	 D’après Papa, il faisait partie des intimes de Tu-Sais-Qui.
HPfrb2ch03-0015	gentillesse    	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
HPfrb2ch03-0016	sensibilité    	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
HPfrb2ch03-0017	prévenance     	 À côté de Drago Malefoy, Dudley Dursley était un modèle de gentillesse, de sensibilité et de prévenance !
HPfrb2ch03-0018	repassage      	 – Maman a toujours eu envie d’avoir un elfe de maison pour s’occuper du repassage, dit George.
HPfrb2ch03-0019	pouilleux      	 Mais tout ce qu’on a, c’est une vieille goule pouilleuse dans le grenier et des gnomes qui envahissent le jardin.
HPfrb2ch03-0020	grenier        	 Mais tout ce qu’on a, c’est une vieille goule pouilleuse dans le grenier et des gnomes qui envahissent le jardin.
HPfrb2ch03-0021	manoir         	 Les elfes de maison, on les trouve dans les vieux manoirs ou les châteaux, aucune chance d’en voir un chez nous… Harry resta silencieux.
HPfrb2ch03-0022	pavaner        	 Il imaginait très bien Malefoy se pavanant dans un vaste manoir.
HPfrb2ch03-0023	épuisement     	 Ce n’aurait pas été la première fois qu’il se serait évanoui d’épuisement en allant porter le courrier.
HPfrb2ch03-0024	astiquer       	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
HPfrb2ch03-0025	ouest          	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
HPfrb2ch03-0026	boussole       	 Il envoie beaucoup de courrier et il reste presque tout le temps enfermé dans sa chambre… Mais on ne peut quand même pas passer toutes ses journées à astiquer son insigne de préfet… Tu vas un peu trop loin vers l’ouest, Fred, ajouta George en montrant la boussole fixée au tableau de bord.
HPfrb2ch03-0027	détournement   	 Le service des Détournements de l’Artisanat moldu.
HPfrb2ch03-0028	artisanat      	 Le service des Détournements de l’Artisanat moldu.
HPfrb2ch03-0029	brocanteur     	 Par exemple, l’année dernière, une vieille sorcière est morte et son service à thé a été vendu à un brocanteur.
HPfrb2ch03-0030	garage         	 Il a un garage plein de ces machins-là.
HPfrb2ch03-0031	machin         	 Il a un garage plein de ces machins-là.
HPfrb2ch03-0032	démonter       	 Il les démonte, leur fait subir un tas de sortilèges et les remonte.
HPfrb2ch03-0033	perquisition   	 S’il devait faire une perquisition dans sa propre maison, il serait obligé de se mettre lui-même en prison.
HPfrb2ch03-0034	prison         	 S’il devait faire une perquisition dans sa propre maison, il serait obligé de se mettre lui-même en prison.
HPfrb2ch03-0035	mosaïque       	 La voiture perdit de l’altitude et Harry aperçut une mosaïque de champs et de bosquets.
HPfrb2ch03-0036	bosquet        	 La voiture perdit de l’altitude et Harry aperçut une mosaïque de champs et de bosquets.
HPfrb2ch03-0037	atterrissage   	 – Atterrissage ! annonça Fred.
HPfrb2ch03-0038	porcherie      	 On aurait dit une vaste porcherie qui aurait été agrandie au fil du temps.
HPfrb2ch03-0039	agrandir       	 On aurait dit une vaste porcherie qui aurait été agrandie au fil du temps.
HPfrb2ch03-0040	bancal         	 Haute de plusieurs étages, la maison paraissait si bancale qu’elle ne semblait tenir que par magie (ce qui était probablement le cas, songea Harry).
HPfrb2ch03-0041	rouiller       	 Des bottes entassées en désordre et un vieux chaudron rouillé encadraient la porte.
HPfrb2ch03-0042	encadrer       	 Des bottes entassées en désordre et un vieux chaudron rouillé encadraient la porte.
HPfrb2ch03-0043	picorer        	 Quelques gros poulets bien gras picoraient dans la cour.
HPfrb2ch03-0044	luxueux        	 – Ce n’est pas très luxueux, dit Ron.
HPfrb2ch03-0045	tigresse       	 La petite femme replète au visage bienveillant semblait s’être brusquement transformée en une tigresse redoutable.
HPfrb2ch03-0046	hanche         	 Mrs Weasley vint se planter devant eux, les mains sur les hanches, regardant alternativement chacun de ses trois fils qui baissaient la tête d’un air coupable.
HPfrb2ch03-0047	alternativement	 Mrs Weasley vint se planter devant eux, les mains sur les hanches, regardant alternativement chacun de ses trois fils qui baissaient la tête d’un air coupable.
HPfrb2ch03-0048	tablier        	 Elle portait un tablier à fleurs avec une poche d’où dépassait une baguette magique.
HPfrb2ch03-0049	conquérant     	 – Bonjour, M’man, dit George en s’efforçant, sans grand succès, d’adopter un ton joyeux et conquérant.
HPfrb2ch03-0050	ratatiner      	 – Désolé, M’man, mais tu sais, il fallait que… Chacun des trois fils de Mrs Weasley était plus grand qu’elle, mais ils semblèrent se ratatiner sur place lorsque sa rage explosa.
HPfrb2ch03-0051	causer         	 Jamais Bill, Charles ou Percy ne nous ont causé autant de soucis…
HPfrb2ch03-0052	recul          	 Enfin, lorsqu’elle se fut cassé la voix, elle se tourna vers Harry qui eut un mouvement de recul.
HPfrb2ch03-0053	brut           	 Une table et des chaises en bois brut occupaient le centre de la pièce.
HPfrb2ch03-0054	pâtisserie     	 Comment ensorceler son fromage, La Pâtisserie magique, Festin minute en un coup de baguette.
HPfrb2ch03-0055	radio          	 Une vieille radio posée à côté de l’évier annonça l’émission «
HPfrb2ch03-0056	chanteur       	 Salut les Sorciers » avec la célèbre chanteuse Célestina Moldubec.
HPfrb2ch03-0057	cliquetis      	 Dans un cliquetis de vaisselle, Mrs Weasley s’occupait à préparer le petit déjeuner avec de grands gestes désordonnés, jetant des saucisses dans la poêle et des regards furieux à ses trois fils.
HPfrb2ch03-0058	désordonner    	 Dans un cliquetis de vaisselle, Mrs Weasley s’occupait à préparer le petit déjeuner avec de grands gestes désordonnés, jetant des saucisses dans la poêle et des regards furieux à ses trois fils.
HPfrb2ch03-0059	rajouter       	 Mais quand même (elle rajouta trois œufs au plat sur le tas de saucisses), traverser la moitié du pays dans une voiture volante totalement interdite !
HPfrb2ch03-0060	beurrer        	 Mrs Weasley paraissait un peu calmée lorsqu’elle coupa du pain qu’elle se mit à beurrer pour le donner à Harry.
HPfrb2ch03-0061	chemise        	 Au même moment, une petite silhouette aux cheveux roux, vêtue d’une chemise de nuit, apparut dans la cuisine, poussa un cri et ressortit en courant.
HPfrb2ch03-0062	autographe     	 – Elle veut ton autographe, Harry, dit Fred avec un sourire.
HPfrb2ch03-0063	furibond       	 Et vous deux, vous allez l’aider, reprit-elle en jetant un regard furibond à Ron et à George.
HPfrb2ch03-0064	nuisible       	 Écrit en lettres d’or, il lut : Gilderoy Lockhart Le Guide des créatures domestiques nuisibles.
HPfrb2ch03-0065	séduire        	 Au-dessous, une grande photo montrait un sorcier au visage séduisant avec des cheveux blonds ondulés et des yeux bleu clair.
HPfrb2ch03-0066	coquin         	 Comme toujours dans le monde des sorciers, la photo était animée : Gilderoy Lockhart ne cessait de lancer des clins d’œil coquins autour de lui.
HPfrb2ch03-0067	audible        	 – M’man a un faible pour lui, dit Fred dans un murmure parfaitement audible pour tout le monde.
HPfrb2ch03-0068	inspection     	 Si vous pensez que vous en savez plus que Lockhart, allez-y, débrouillez-vous, mais gare à vous si je trouve le moindre gnome dans le jardin quand j’irai faire mon inspection.
HPfrb2ch03-0069	ronchonner     	 Bâillant et ronchonnant, les frères Weasley sortirent d’un pas traînant, suivis par Harry.
HPfrb2ch03-0070	émerveiller    	 – mais Harry était émerveillé par les arbres noueux plantés le long des murs et les massifs débordant de plantes et de fleurs qu’il n’avait encore jamais vues, sans compter la grande mare verte remplie de grenouilles.
HPfrb2ch03-0071	mare           	 – mais Harry était émerveillé par les arbres noueux plantés le long des murs et les massifs débordant de plantes et de fleurs qu’il n’avait encore jamais vues, sans compter la grande mare verte remplie de grenouilles.
HPfrb2ch03-0072	pivoine        	 Oui, j’en ai vu, dit Ron, penché sur un massif de pivoines.
HPfrb2ch03-0073	brouette       	 Mais ce ne sont pas de vrais gnomes, on dirait des petits pères Noël grassouillets avec des brouettes et des cannes à pêche…
HPfrb2ch03-0074	pêche          	 Mais ce ne sont pas de vrais gnomes, on dirait des petits pères Noël grassouillets avec des brouettes et des cannes à pêche…
HPfrb2ch03-0075	méprendre      	 Il était petit avec une peau comme du cuir, et une grosse tête chauve couverte de verrues qui ressemblait à s’y méprendre à une pomme de terre.
HPfrb2ch03-0076	lasso          	 Il leva le gnome au-dessus de sa tête (« Fishmoilapaix ! ») et le fit tourner comme un lasso.
HPfrb2ch03-0077	tournis        	 Simplement, il faut leur donner le tournis pour qu’ils ne retrouvent plus le chemin de leurs trous à gnomes.
HPfrb2ch03-0078	faiblesse      	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
HPfrb2ch03-0079	tranchant      	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
HPfrb2ch03-0080	rasoir         	 Il décida de laisser simplement tomber de l’autre côté de la haie le premier qu’il attrapa, mais le gnome, sentant une faiblesse de sa part, lui planta dans le doigt ses dents tranchantes comme un rasoir et Harry dut secouer frénétiquement sa main pour essayer de lui faire lâcher prise jusqu’à ce que… – Bravo, Harry !
HPfrb2ch03-0081	affaler        	 Mr Weasley était affalé sur une chaise de la cuisine.
HPfrb2ch03-0082	intervention   	 – Neuf interventions !
HPfrb2ch03-0083	département    	 Il y a eu pas mal de sales histoires qui ne relevaient pas de mon département.
HPfrb2ch03-0084	furet          	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
HPfrb2ch03-0085	commission     	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
HPfrb2ch03-0086	expérimental   	 Mortlake a dû répondre à quelques questions concernant des furets très étranges mais c’est du ressort de la Commission des sortilèges expérimentaux, Dieu merci…
HPfrb2ch03-0087	nier           	 Heureusement, ils sont prêts à croire n’importe quoi quand il s’agit de nier la magie, même lorsqu’elle leur crève les yeux… mais c’est fou le nombre d’objets que les sorciers s’amusent à transformer…
