frequent-german-7501,Frack,"
<div class=""trans"">tailcoat</div>
M
<br>
Habe leider doch nicht den passenden Frack gefunden.
<div class=""trans"">-Unfortunately, I couldn't find a tailcoat that fits.</div>
"
frequent-german-7502,Prohibition,"
<div class=""trans"">prohibition</div>
F
<br>
Mein Großvater war während der Prohibition im Gefängnis.
<div class=""trans"">-My grandfather was in prison during prohibition.</div>
"
frequent-german-7503,zweitausend,"
<div class=""trans"">two thousand</div>
nu
<br>
Genau, sie ist über zweitausend Jahre alt.
<div class=""trans"">-Yes, it's more than 2000 years old.</div>
"
frequent-german-7504,Nationalität,"
<div class=""trans"">nationality</div>
F
<br>
Ein Großteil dieser Einwanderer der ersten Generation besitzt nach vierzig Jahren noch immer nicht die Nationalität ihres Wohnsitzlandes.
<div class=""trans"">-After 40 years, many of these people from the first generation of migrants still do not have the nationality of their country of residence.</div>
"
frequent-german-7505,unbegrenzt,"
<div class=""trans"">unlimited; indefinitely</div>
adj; adv
<br>
Nein, unsere Dienstleistungen sind vollständig unbegrenzt.
<div class=""trans"">-No, all the services are completely unlimited.</div>
"
frequent-german-7506,Monopol,"
<div class=""trans"">monopoly</div>
N
<br>
Du hast nicht das Monopol darauf.
<div class=""trans"">-You don't have a monopoly.</div>
"
frequent-german-7507,unergründlich,"
<div class=""trans"">unfathomable; unfathomably</div>
adj; adv
<br>
Die Wege des Teufels sind unergründlich.
<div class=""trans"">-The devil's ways are unfathomable.</div>
"
frequent-german-7508,konfiszieren,"
<div class=""trans"">confiscate</div>
vb
<br>
Wir sollen alle relevanten Materialien konfiszieren.
<div class=""trans"">-We've been authorized to confiscate all relevant materials.</div>
"
frequent-german-7509,durchschnittlich,"
<div class=""trans"">average; on average</div>
adj; adv
<br>
Ich gehe durchschnittlich einmal wöchentlich ins Kino.
<div class=""trans"">-On average, I go to the movies once a week.</div>
"
frequent-german-7510,ausbringen,"
<div class=""trans"">apply, *propose</div>
vb
<br>
Ich würde gern einen Toast ausbringen.
<div class=""trans"">-I'd like to propose a toast.</div>
"
frequent-german-7511,ziellos,"
<div class=""trans"">aimlessly; aimless</div>
adv; adj
<br>
Ich gehe gern ziellos spazieren.
<div class=""trans"">-I like to walk aimlessly.</div>
"
frequent-german-7512,zeitweise,"
<div class=""trans"">temporarily</div>
adv
<br>
Die Ölversorgung war zeitweise eingestellt wegen Kämpfen in dieser Region.
<div class=""trans"">-Because of fighting in the region, the oil supply was temporarily cut off.</div>
"
frequent-german-7513,Ebbe,"
<div class=""trans"">low tide</div>
F
<br>
Bei Ebbe ist der Rückweg am Strand möglich.
<div class=""trans"">-At low tide, it is possible to walk back on the beach.</div>
"
frequent-german-7514,Akkord,"
<div class=""trans"">chord</div>
M
<br>
Mir wird nicht ganz klar, was das bei 1:58 für ein Akkord ist.
<div class=""trans"">-I can't quite figure out what that chord around 1:58 is.</div>
"
frequent-german-7515,Anlass,"
<div class=""trans"">occasion</div>
M
<br>
Meine Rede war dem Anlass angemessen.
<div class=""trans"">-My speech was appropriate for the occasion.</div>
"
frequent-german-7516,Halfter,"
<div class=""trans"">holster</div>
N/F
<br>
Sie haben eine Pistole in Ihrem Halfter.
<div class=""trans"">-You have a gun in your holster.</div>
"
frequent-german-7517,Immunität,"
<div class=""trans"">immunity</div>
F
<br>
Er wird nicht länger Immunität genießen.
<div class=""trans"">-He will no longer have immunity.</div>
"
frequent-german-7518,Zielobjekt,"
<div class=""trans"">target (object)</div>
N
<br>
Das Zielobjekt wird dann im Fenster dargestellt.
<div class=""trans"">-The target object is then displayed in the window.</div>
"
frequent-german-7519,verschmieren,"
<div class=""trans"">smear</div>
vb
<br>
Bitte verschmieren Sie die Blutprobe nicht.
<div class=""trans"">-Do not smear the blood sample.</div>
"
frequent-german-7520,Weihrauch,"
<div class=""trans"">incense</div>
M
<br>
Besorge ein wenig Weihrauch für die Opfergaben.
<div class=""trans"">-Get some incense for sacrificial offerings.</div>
"
